Molecule,SMILES
D-2dAraHex,O[C@@H]1CC(O)O[C@H](CO)[C@H]1O
RhaNAcNFo,C[C@H]1[C@H](NC=O)[C@@H](O)[C@@H](NC(C)=O)C(O)O1
GalNAcAAla,OC1O[C@H](C(O)=O)[C@H](OC([C@@H](N)C)=O)[C@H](O)[C@H]1NC(C)=O
GalOAcOPGro,O=P(O)(OC[C@@H]1[C@H](O)[C@H](O)[C@@H](OC(C)=O)C(O)O1)OCC(O)CO
GlcNAcAAla,OC1O[C@H](C(O)=O)[C@@H](OC([C@@H](N)C)=O)[C@H](O)[C@H]1NC(C)=O
ManOP-ol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
AltfOAc,OC(O1)[C@@H](OC(C)=O)[C@H](O)[C@H]1[C@H](O)CO
GalfOP,OC(O1)[C@H](O)[C@@H](O)[C@@H]1[C@H](O)COP(O)(O)=O
OliN,C[C@@H]1[C@@H](O)[C@H](N)CC(O)O1
GlcNAcCl,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1CCl
ManNAcOMe,OC1O[C@H](CO)[C@@H](O)[C@H](OC)[C@@H]1NC(C)=O
GlcOEtnA,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OCCN
GlcNCmOCmOVac,OC(O1)[C@H](NC(N)=O)[C@@H](OC(N)=O)[C@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@H]1CO
GalOAcAGroN,OC([C@@H]1OCC(N)CO)O[C@H](C(OC(C)=O)=O)[C@H](O)[C@@H]1O
AraHepUloNAcN-onic,OC1([C@@H]([C@H]([C@H](C(O1)CN)NC(C)=O)O)O)C(O)=O
GalAThrAc,OC(O1)[C@H](OC([C@@H](NC(C)=O)[C@H](O)C)=O)[C@@H](O)[C@@H](O)[C@H]1C(O)=O
AraOAcOP-ol,OC[C@H](OC(C)=O)[C@@H](O)[C@@H](OP(O)(O)=O)CO
GlcOAcNMeOCmOVac,OC(O1)[C@H](NC)[C@@H](OC(C)=O)[C@H](OC(N)=O)[C@H]1COC(CCCCCCCCC/C=C/CCCCCC)=O
GlcOMeOPyr,OC1O[C@H]2C([C@@H]([C@H]1OC)O)OC(OC2)C(C)=O
XylOBz,OC1[C@H](OC(C2=CC=CC=C2)=O)[C@@H](O)[C@H](O)CO1
L-6dGulHepOP,OC(O1)[C@@H](OP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1CCO
GlcSH,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CS
FucOMeOVac,C[C@H]1[C@@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@@H](O)[C@H](OC)C(O)O1
GlcOOle,OC(O1)[C@H](OC(CCCCCCC/C=C/CCCCCCCC)=O)[C@@H](O)[C@H](O)[C@H]1CO
Xyl-ol,OC[C@@H](O)[C@H](O)[C@@H](O)CO
"1,4-Anhydro-Gal",OC[C@H](C1OC[C@H](O)[C@H]1O)O
OLac,OC(C(O)C)=O
b-Tri-OP-ol,OCC(OP(O)(O)=O)CO
L-6dGulHepOMe,OC(O1)[C@@H](OC)[C@@H](O)[C@H](O)[C@@H]1CCO
Ribf-uronic,OC(O1)[C@H](O)[C@H](O)[C@H]1C(O)=O
GlcOButA,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OC(CCC)=O
D-FucOBut,C[C@@H]1[C@H](O)[C@H](O)[C@@H](OC(CCC)=O)C(O)O1
OliOMe,C[C@@H]1[C@@H](OC)[C@H](O)CC(O)O1
AraHepUloNGc-onic,OC1([C@@H]([C@H]([C@H](C(O1)CO)NC(CO)=O)O)O)C(O)=O
ManOAcOMe,OC1O[C@H](CO)[C@@H](O)[C@H](OC)[C@@H]1OC(C)=O
XylHexNAc,OC1OC(CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O
GlcOPGroA,O[C@H]1C(O[C@@H]([C@H]([C@@H]1O)O)COP(OCC(C(O)=O)O)(O)=O)O
D-6dAraHexN,CC1[C@@H](O)[C@@H](O)[C@H](N)C(O)O1
GlcOMeOFoA,O[C@H]1C(O)O[C@H](C(O)=O)[C@@H](OC)[C@@H]1OC([H])=O
RhaOAcOLac,C[C@H]1[C@H](OC(C(O)C)=O)[C@@H](O)[C@@H](OC(C)=O)C(O)O1
L-OliOMe,C[C@H]1[C@H](OC)[C@@H](O)CC(O)O1
PseNButNFo,C[C@H](O)[C@H](NC=O)[C@H]1[C@@H](NC(CCC)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
AltA,O[C@H]1C(O)O[C@@H](C(O)=O)[C@H](O)[C@@H]1O
KdnOPyr,O=C(C1(O[C@H]2[C@@H]([C@@H](CO)O)OC(C(C)=O)O[C@@H]2[C@H](C1)O)O)O
D-Ara-ol,OC[C@@H](O)C(O)[C@H](O)CO
ManOAcOPyr,OC1O[C@@H]2C([C@@H]([C@@H]1OC(C)=O)O)OC(OC2)C(C)=O
GalOPAN,N[C@H]1C(O)O[C@H](C(OP(O)(O)=O)=O)[C@H](O)[C@@H]1O
D-RhaNFo,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)NC=O
Mur,C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1N)C(O)=O
GalNonUloNAc-onic,OC1(C(O)=O)[C@H](O)[C@@H](O)[C@@H](NC(C)=O)[C@@H](C(O)C(O)CO)O1
ManOPy,OC(O1)[C@@H](OC(C(C)=O)=O)[C@@H](O)[C@H](O)[C@H]1CO
ManNAcASer,OC1O[C@H](C(O)=O)[C@@H](OC([C@H](N)CO)=O)[C@H](O)[C@@H]1NC(C)=O
Gro-ol,OCC(O)CO
GlcOAcOSA,OC1O[C@H](C(OS(O)(=O)=O)=O)[C@@H](O)[C@H](O)[C@H]1OC(C)=O
QuiOSN,C[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)OS(O)(=O)=O)N)O
GlcOAcOS,OC1O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H]1OC(C)=O
LDManHepOPGroA,OC1O[C@H]([C@H](CO)O)[C@@H](OP(O)(OCC(O)C(O)=O)=O)[C@H](O)[C@@H]1O
GlcOP-ol,OC[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@H](O)CO
QuiNAlaAcGro,C[C@@H]1[C@@H](OCC(O)CO)[C@H](N)[C@@H](OC([C@@H](NC(C)=O)C)=O)C(O)O1
Ery-L-GlcNonUloNAcOAcOMeSH-onic,OC1(C(OC(C)=O)=O)[C@@H](OC)[C@H](S)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O1
PseOAc,C[C@@H]([C@@H]([C@H]1[C@H]([C@H](C[C@](O)(O1)C(OC(C)=O)=O)O)N)N)O
GalOAcNAla,OC1O[C@@H]([C@@H]([C@@H]([C@H]1N)OC(C)=O)OC([C@H](C)N)=O)CO
FucNFo,C[C@H]1[C@@H](O)[C@@H](O)[C@H](NC=O)C(O)O1
XylNMe,OC1[C@H](NC)[C@@H](O)[C@H](O)CO1
QuiNAcNButGro,C[C@@H]1[C@@H](OCC(O)CO)[C@H](NC(CCC)=O)[C@@H](NC(C)=O)C(O)O1
RibOAcOP-ol,OC[C@H]([C@H]([C@H](COP(O)(O)=O)O)O)OC(C)=O
L-GroHexUlo,OC1(CO)C(O)C(O)C(O)CO1
L-LyxHexNMe,OC(O1)[C@H](O)[C@H](NC)[C@@H](O)C1CO
GlcAGlu,OC1O[C@H](C(O)=O)[C@@H](OC([C@@H](N)CCC(O)=O)=O)[C@H](O)[C@H]1O
QuiNButOMe,C[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)NC(CC)=O)O)OC
D-FucNThrAc,C[C@@H]1[C@H](OC([C@@H](NC(C)=O)[C@H](O)C)=O)[C@H](O)[C@@H](N)C(O)O1
6dAltNAc,C[C@H]1[C@H](O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
GlcAAlaLys,OC(O1)[C@H](OC([C@@H](N)C)=O)[C@@H](O)[C@H](OC([C@@H](N)CCCCN)=O)[C@H]1C(O)=O
L-4dThrHexAN4en,OC1[C@H](N)[C@@H](O)C=C(C(O)=O)O1
L-6dGalHep,OC(O1)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1CCO
L-6dGalHepOP,OC(O1)[C@@H](OP(O)(O)=O)[C@H](O)[C@H](O)[C@@H]1CCO
HexNAc,OC(O1)C(NC(C)=O)C(O)C(O)C1CO
GalNAcOAcOPGro,OC1O[C@@H]([C@@H]([C@@H]([C@H]1NC(C)=O)O)OC(C)=O)COP(OCC(CO)O)(O)=O
GalANCys,SC[C@H](N)C(O[C@H]([C@@H]1O)[C@@H](C(O)=O)OC(O)[C@@H]1N)=O
L-Lyx,OC1[C@H](O)[C@H](O)[C@@H](O)CO1
GalANSerAc,OC(O1)[C@H](N)[C@@H](O)[C@@H](OC([C@@H](NC(C)=O)CO)=O)[C@H]1C(O)=O
GlcOAcNBut,OC1O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]1NC(CCC)=O
GalNAc-onic,OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](NC(C)=O)C(O)=O
GlcNN,OC(O1)[C@H](N)[C@@H](N)[C@H](O)[C@H]1CO
PseNAc,C[C@H](O)[C@H](N)[C@H]1[C@@H](NC(C)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
L-GalAN,N[C@@H]1C(O)O[C@@H](C(O)=O)[C@@H](O)[C@H]1O
FucNAcN,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)NC(C)=O)O)N
D-FucNAcOPEtn,C[C@@H]1[C@H](OP(OCCN)(O)=O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
FrufOLau,OC(O1)(COC(CCCCCCCCCCC)=O)[C@@H](O)[C@H](O)[C@H]1CO
GalOMeNAla,N[C@H]1C(O)O[C@H](CO)[C@H](OC([C@@H](N)C)=O)[C@@H]1OC
D-FucOMeOSin,C[C@@H]1[C@H](OC(/C=C/C2=CC(OC)=C(O)C(OC)=C2)=O)[C@H](O)[C@@H](OC)C(O)O1
GlcOAcNCmOOle,OC(O1)[C@H](NC(N)=O)[C@@H](OC(C)=O)[C@H](OC(CCCCCCC/C=C/CCCCCCCC)=O)[C@H]1CO
Rhaf,C[C@H](O)[C@H]1[C@@H](O)[C@@H](O)C(O)O1
MurNAcSer,C[C@@H](O[C@H]1[C@H](OC([C@@H](N)CO)=O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(O)=O
GlcOPEtnGro,OC1O[C@H](C(OP(OCCN)(O)=O)=O)[C@@H](O)[C@H](O)[C@H]1OCC(O)CO
QuiNSerAc,C[C@@H]1[C@@H](O)[C@H](N)[C@@H](OC([C@@H](NC(C)=O)CO)=O)C(O)O1
FucNProp,C[C@H]1[C@@H](O)[C@@H](O)[C@H](NC(CC)=O)C(O)O1
QuiNAcOMe,C[C@@H]1[C@@H](OC)[C@H](O)[C@@H](NC(C)=O)C(O)O1
VioNAc,OC1[C@H](O)[C@@H](O)[C@H](NC(C)=O)[C@@H](C)O1
GalfOAcOLac,OC(O1)[C@H](OC(C)=O)[C@@H](OC(C(O)C)=O)[C@@H]1[C@H](O)CO
L-GalNAc-onic,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](NC(C)=O)C(O)=O
GlcOAcNCmOPam,OC(O1)[C@H](NC(N)=O)[C@@H](OC(C)=O)[C@H](OC(CCCCCCCCCCCCCCC)=O)[C@H]1CO
D-3dThrHexUlosonic,OC1(C[C@@H]([C@H](CO1)O)O)C(O)=O
L-Gul-onic,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O
GlcAThrAc,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OC([C@@H](NC(C)=O)[C@H](O)C)=O
GlcCho,OC(O1)[C@H](OCC[N+](C)(C)C)[C@@H](O)[C@H](O)[C@H]1CO
GlcOAcOSte,OC(O1)[C@H](OC(C)=O)[C@@H](O)[C@H](OC(CCCCCCCCCCCCCCC)=O)[C@H]1CO
ManNAcOLac,OC(O1)[C@@H](NC(C)=O)[C@@H](O)[C@H](OC(C(O)C)=O)[C@H]1CO
IdoOAcA,OC1O[C@@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OC(C)=O
KdoOPOEtn,O=C(C1(O[C@@H]([C@@H]([C@@H](C1)OP(O)(O)=O)O)[C@@H](CO)O)O)OCCN
L-4dEryHexAN4en,OC1[C@@H](N)[C@@H](O)C=C(C(O)=O)O1
GlcNMeOCm,OC(O1)[C@H](NC)[C@@H](O)[C@H](OC(N)=O)[C@H]1CO
GlcThr,C[C@@H](O)[C@H](N)C(O[C@H]1C(O[C@@H]([C@H]([C@@H]1O)O)CO)O)=O
GlcNAcOAcOPyr,OC1O[C@H]2[C@H]([C@@H]([C@H]1NC(C)=O)OC(C)=O)OC(OC2)C(C)=O
GlcOEt,OC(O1)[C@H](OCC)[C@@H](O)[C@H](O)[C@H]1CO
QuiNAcGro,C[C@@H]1[C@@H](OCC(O)CO)[C@H](O)[C@@H](NC(C)=O)C(O)O1
GalOAcAOLac,OC1O[C@@H]([C@@H]([C@@H]([C@H]1OC(C(O)C)=O)O)O)C(OC(C)=O)=O
Lyxf,OC(O1)[C@@H](O)[C@@H](O)[C@H]1CO
"4,8-Anhydro-DDGlcOct",O=C[C@@H]([C@H]([C@H]1[C@H]([C@@H]([C@@H](CO1)O)O)O)O)O
D-FucNN,C[C@@H]1[C@H](N)[C@H](O)[C@@H](N)C(O)O1
D-3dAraHepUlosonic,OC1(C[C@H]([C@@H]([C@H](O1)CO)O)O)C(O)=O
aldehyde-QuiNAc,C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](NC(C)=O)C=O
ManNAcANOOrn,OC1O[C@H](C(O)=O)[C@@H](OC([C@@H](N)CCCN)=O)[C@H](N)[C@@H]1NC(C)=O
D-FucNAsp,C[C@@H]1[C@H](OC([C@@H](N)CC(O)=O)=O)[C@H](O)[C@@H](N)C(O)O1
GulNAcAN,OC1O[C@H](C(O)=O)[C@H](N)[C@@H](O)[C@H]1NC(C)=O
ManNOPGro,OC(O1)[C@@H](N)[C@@H](O)[C@H](O)[C@H]1COP(OCC(O)CO)(O)=O
GalOFoNAN,N[C@H]1C(O)O[C@H](C(O)=O)[C@H](N)[C@@H]1OC=O
L-BoiOMe,OC1C[C@@H](OC)[C@H](O)[C@H](C)O1
FrufNAc,OCC(O1)(O)[C@@H](O)[C@H](O)[C@H]1CNC(C)=O
QuiOSNBut,C[C@@H]1[C@@H](OS(=O)(O)=O)[C@H](O)[C@@H](NC(CCC)=O)C(O)O1
RhaOMeCMeOFo,C[C@H]1[C@H](OC=O)[C@@H](CC)[C@@H](OC)C(O)O1
GlcNAcOSA,OC1O[C@H](C(OS(=O)(O)=O)=O)[C@@H](O)[C@H](O)[C@H]1NC(C)=O
D-RibHexNAc,OC(O1)[C@H](NC(C)=O)[C@H](O)[C@H](O)C1CO
GlcOAcNOCmOVac,OC(O1)[C@H](N)[C@@H](OC(C)=O)[C@H](OC(N)=O)[C@H]1COC(CCCCCCCCC/C=C/CCCCCC)=O
GlcNAcAla,OC1O[C@H](CO)[C@@H](OC([C@@H](N)C)=O)[C@H](O)[C@H]1NC(C)=O
D-6dXylHex,CC1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
RhaOPyr,C[C@H]1[C@@H]([C@H]2OC(C(C)=O)O[C@H]2C(O1)O)O
Gal6Ulo,OC(O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1C=O
RhaCMe,C[C@H]1[C@H](O)[C@@H](O)[C@@H](CC)C(O)O1
ManNAcOMeAN,OC1O[C@@H]([C@H]([C@@H]([C@@H]1NC(C)=O)OC)N)C(O)=O
PseNGcNAm,C[C@@H]([C@@H]([C@H]1[C@H]([C@H](C[C@](O)(O1)C(O)=O)O)NC(CO)=O)NC(C)=N)O
RhaGroA,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OC(C(O)CO)=O)C(O)O1
GlcOAcNMeOVac,OC(O1)[C@H](NC)[C@@H](OC(C)=O)[C@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@H]1CO
LDGlcHep,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1[C@@H](O)CO
L-6dAraHex,CC1[C@H](O)[C@H](O)[C@@H](O)C(O)O1
GlcOMal,OC(O1)[C@H](OC(CC(O)=O)=O)[C@@H](O)[C@H](O)[C@H]1CO
PseNAcNAcOBut,C[C@@H]([C@@H]([C@H]1[C@H]([C@H](C[C@](O)(O1)C(OC(CCC)=O)=O)O)NC(C)=O)NC(C)=O)O
GalOLac-ol,OC[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)OC(C(O)C)=O
GalOMeCl,OC1O[C@H](CO)[C@H](O)[C@H](OC)[C@H]1Cl
DDManHepOMe,OC(O1)[C@@H](OC)[C@@H](O)[C@H](O)[C@H]1[C@H](O)CO
GalfOAcOPGro,OC(O1)[C@H](OC(C)=O)[C@@H](O)[C@@H]1[C@H](O)COP(OCC(O)CO)(O)=O
GalfOAcGro,OC(O1)[C@H](OC(C)=O)[C@@H](OCC(O)CO)[C@@H]1[C@H](O)CO
D-FucNAcOMe,C[C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)OC)O)NC(C)=O
GlcNAcOAcOCmOOle,OC1O[C@H](COC(CCCCCCC/C=C/CCCCCCCC)=O)[C@@H](OC(N)=O)[C@H](OC(C)=O)[C@H]1NC(C)=O
FucOAcOSOMe,C[C@H]1[C@@H](OC)[C@@H](OS(=O)(O)=O)[C@H](OC(C)=O)C(O)O1
RhaOPOMe,C[C@H]1[C@H](OC)[C@@H](O)[C@@H](OP(O)(O)=O)C(O)O1
GalOPy,OC1O[C@H]2[C@H](OC(C)(C)OC2)[C@H](O)[C@H]1O
D-4dEryHexOAcN4en,OC1[C@H](N)[C@H](OC(C)=O)C=C(CO)O1
b-Tri-N-ol,OCC(N)CO
L-4dThrHexA4enAla,OC1[C@H](OC([C@@H](N)C)=O)[C@@H](O)C=C(C(O)=O)O1
L-GalNAc,OC(O1)[C@@H](NC(C)=O)[C@H](O)[C@H](O)[C@@H]1CO
Sed,O[C@H]1[C@@H](O)[C@H](O)C(O)(CO)O[C@@H]1CO
GalNOPCho,OC(O1)[C@H](N)[C@@H](O)[C@@H](O)[C@H]1COP(OCC[N+](C)(C)C)(O)=O
D-6dTalHep,OC(O1)[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1CCO
HexOMeOFo,OC(O1)C(OC)C(O)C(OC=O)C1CO
L-4dThrHex4en,OC1[C@H](O)[C@@H](O)C=C(CO)O1
QuiNLac,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC(C(O)C)=O)C(O)O1
D-FucNAcNMeN,C[C@@H]1[C@H](N)[C@H](NC)[C@@H](NC(C)=O)C(O)O1
GlcNAcOS-ol,OC[C@@H]([C@H]([C@@H]([C@@H](COS(=O)(O)=O)O)O)O)NC(C)=O
"2,5-Anhydro-L-Man",O=C[C@H](O1)[C@H](O)[C@@H](O)[C@@H]1CO
RhaNAcNBut,C[C@H]1[C@H](NC(CCC)=O)[C@@H](O)[C@@H](NC(C)=O)C(O)O1
QuiOS,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](OS(=O)(O)=O)C(O)O1
"2,7-Anhydro-Kdof",OC[C@H]1OC2(C[C@@H]([C@H]([C@@H]1O)O2)O)C(O)=O
L-The,C[C@H]1[C@H](O)[C@@H](OC)[C@H](O)C(O)O1
ArafGro,OC(O1)[C@H](OCC(O)CO)[C@@H](O)[C@@H]1CO
GlcNAcOAcOPam,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@H](OC(CCCCCCCCCCCCCCC)=O)[C@H]1CO
D-Sor,OCC1(O)[C@H](O)[C@@H](O)[C@H](O)CO1
ManOAcN,OC(O1)[C@@H](N)[C@@H](O)[C@H](OC(C)=O)[C@H]1CO
ManNAcOPGroA,OC1O[C@H](COP(OCC(C(O)=O)O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1NC(C)=O
GlcAGly,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OC(CN)=O
