Molecule,SMILES
L-GulNAcNAmA,OC1O[C@@H]([C@@H]([C@H]([C@H]1NC(C)=O)NC(C)=N)O)C(O)=O
D-FucNAc-ol,OC[C@@H]([C@H]([C@H]([C@@H](C)O)O)O)NC(C)=O
GlcALys,OC(O1)[C@H](OC([C@@H](N)CCCCN)=O)[C@@H](O)[C@H](O)[C@H]1C(O)=O
GalNAcOPCho,OC1O[C@@H]([C@@H]([C@@H]([C@H]1NC(C)=O)O)O)COP(O)(OCC[N+](C)(C)C)=O
GlcI,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CI
ManNAcAN,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](N)[C@@H]1NC(C)=O
D-Apif,OC1[C@@H](O)[C@@](CO)(O)CO1
FucOS,C[C@H]1[C@@H](O)[C@@H](OS(=O)(O)=O)[C@H](O)C(O)O1
Manf,OC(O1)[C@@H](O)[C@@H](O)[C@H]1[C@H](O)CO
Abe,C[C@@H]1[C@H](O)C[C@@H](O)C(O)O1
GlcNGly,OC1O[C@H](CO)[C@@H](OC(CN)=O)[C@H](O)[C@H]1N
GalOPA,O[C@H]1C(O)O[C@H](C(O)=O)[C@H](O)[C@@H]1OP(O)(O)=O
4eLegNAcNAc,C[C@@H](O)[C@@H](NC(C)=O)[C@H]1[C@H](NC(C)=O)[C@H](O)C[C@](C(O)=O)(O)O1
DLManHep,OC(O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1[C@H](O)CO
DLManHepOPEtn,OC1O[C@@H]([C@@H](CO)OP(OCCCN)(O)=O)[C@H](O)[C@@H](O)[C@H]1O
FucNThrAc,C[C@H]1[C@@H](OC([C@@H](NC(C)=O)[C@H](O)C)=O)[C@@H](O)[C@H](N)C(O)O1
MurNAcOP,C[C@@H](O[C@H]1[C@H](OP(O)(O)=O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(O)=O
DDGalHepOMe,OC1O[C@H]([C@@H](CO)O)[C@H](OC)[C@H](O)[C@H]1O
DDGalHep,OC(O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1[C@H](O)CO
L-LyxHex,OC(O1)[C@H](O)[C@H](O)[C@@H](O)C1CO
